"cell_id","umap_x","umap_y","tissue_x","tissue_y","cluster","color_hex"
"bjndlijo-1",-4.24378151347947,-1.08518284125727,8379.7421875,-7754.873046875,"Epi_SecA","#E69F00"
"bjnechfd-1",-3.37089151790452,0.36161646680433,8360.28125,-7779.1630859375,"Epi_SecA","#E69F00"
"bjneiohe-1",-4.90847105434251,-0.579752440885718,8369.8662109375,-7770.98095703125,"Epi_SecA","#E69F00"
"bjnejdel-1",-4.79979509761644,-0.962614949182685,8375.8642578125,-7778.30712890625,"Epi_SecA","#E69F00"
"bjnepccj-1",-4.46837753703904,-0.502288903431113,8365.314453125,-7766.22119140625,"Epi_SecA","#E69F00"
"blkhdfag-1",-5.10351604869676,-0.524824793771918,8497.4638671875,-8077.88720703125,"Epi_SecA","#E69F00"
"blkhfakn-1",-6.58183664729905,1.44444394545156,8485.857421875,-8097.486328125,"Epi_SecA","#E69F00"
"blkhgcfo-1",-6.31530708720994,1.27495432333547,8490.673828125,-8092.046875,"Epi_SecA","#E69F00"
"blkhjeca-1",-6.60445684840989,1.31956243948538,8497.3740234375,-8087.12255859375,"Epi_SecA","#E69F00"
"blkibcfe-1",-5.57560772350145,0.0433104379614039,8487.435546875,-8080.5478515625,"Epi_SecA","#E69F00"
"blkicnpm-1",-7.48265976360154,1.59200764135915,8446.04296875,-8251.333984375,"Epi_SecA","#E69F00"
"blkideej-1",-5.21935505321336,-1.81346284909647,8444.4384765625,-8302.5625,"Epi_SecB","#56B4E9"
"blkiffhh-1",-5.10015100887132,-2.02395951314371,8440.421875,-8296.1259765625,"Epi_SecA","#E69F00"
"blkimkbl-1",-4.28762478282762,-2.12848817868632,8440.50390625,-8286.4609375,"Epi_SecA","#E69F00"
"blkjdgfn-1",8.58784013340163,-5.39036905332011,8456.876953125,-8283.7353515625,"Plasma cell","#005685"
"blkjenlh-1",-7.29785198619676,2.05900609926779,8448.671875,-8258.541015625,"Epi_SecA","#E69F00"
"blkjgmgj-1",-5.46551365306687,-0.0929052708682915,8492.30859375,-8108.8017578125,"Epi_SecA","#E69F00"
"blkjihcn-1",-4.63466114452195,3.14490592913229,8484.5283203125,-8104.5625,"Epi_SecA","#E69F00"
"blkjohae-1",-4.87516445567918,-0.893257673219855,8501.6728515625,-8108.9912109375,"Epi_SecA","#E69F00"
"blkjpigf-1",5.65596728870559,-5.25055515332621,8464.0947265625,-8251.0224609375,"T cell","#1C91D4"
